timestamp,00,01,02,03,04,05,06,07,08
2018-09-25,70,97,30,52,116,176,142,69,53
2018-09-26,81,97,31,51,135,161,143,59,32
2018-09-27,86,109,33,51,133,173,150,92,25
2018-09-28,83,151,39,55,128,176,164,87,33
2018-09-29,92,162,34,59,114,157,165,90,37
2018-09-30,93,162,36,61,115,157,163,97,42
2018-10-01,87,161,35,60,116,156,158,100,40
2018-10-02,77,168,28,47,124,134,151,114,36
2018-10-03,106,176,33,43,107,132,167,127,38
2018-10-04,106,194,37,42,117,117,191,81,42
2018-10-05,125,170,34,37,111,117,177,79,40
2018-10-06,130,178,38,41,111,123,178,80,39
2018-10-07,130,171,36,41,110,120,179,76,33
2018-10-08,126,170,38,45,110,120,179,65,32
2018-10-09,111,158,33,48,91,131,180,48,27
2018-10-10,134,172,42,59,98,142,178,37,28
2018-10-11,117,152,39,57,81,161,155,72,34
2018-10-12,104,139,37,59,78,152,165,76,40
2018-10-13,99,130,41,58,80,141,173,77,50
2018-10-14,102,130,42,54,81,154,171,79,51
2018-10-15,84,127,40,54,80,162,184,77,48
2018-10-16,72,142,45,55,90,165,206,88,67
2018-10-17,80,120,39,53,99,176,230,93,70
2018-10-18,92,117,41,58,117,196,270,53,69
2018-10-19,117,112,40,52,129,229,298,85,71
2018-10-20,134,110,39,55,128,238,290,79,127
2018-10-21,132,108,38,54,134,224,286,79,135
2018-10-22,118,108,38,53,129,220,276,72,114
2018-10-23,141,95,32,51,125,220,246,83,115
2018-10-24,138,107,29,47,111,204,214,75,110
2018-10-25,109,105,24,39,99,180,172,111,104
2018-10-26,93,98,21,42,84,153,136,104,36
2018-10-27,104,95,32,41,89,143,126,113,43
2018-10-28,102,98,33,42,82,143,130,107,34
2018-10-29,81,97,35,37,85,141,124,104,32
2018-10-30,65,85,39,40,95,133,118,108,30
2018-10-31,67,66,48,43,95,133,111,102,81
2018-11-01,72,52,47,42,93,123,103,74,77
2018-11-02,65,57,48,51,102,127,100,72,72
2018-11-03,58,57,40,64,90,133,106,77,61
2018-11-04,58,55,40,64,91,131,102,76,76
2018-11-05,49,52,37,64,92,129,108,72,76
2018-11-06,61,58,36,64,81,128,113,62,73
2018-11-07,118,75,32,72,68,125,127,61,39
2018-11-08,134,85,35,70,78,136,129,60,43
2018-11-09,151,87,38,55,73,132,131,58,48
2018-11-10,154,94,36,47,77,119,130,56,48
2018-11-11,153,97,37,48,78,122,131,54,41
2018-11-12,146,95,38,46,78,121,129,54,39
2018-11-13,110,89,30,35,72,131,138,49,28
2018-11-14,83,88,23,34,73,137,121,49,34
2018-11-15,69,89,24,37,66,137,121,40,31
2018-11-16,67,83,22,40,56,125,111,34,31
2018-11-17,62,77,19,43,58,124,95,32,36
2018-11-18,63,75,18,41,58,125,100,34,33
2018-11-19,61,77,19,39,54,129,104,35,31
2018-11-20,62,80,17,45,53,120,97,44,36
2018-11-21,49,72,21,43,65,116,101,60,29
2018-11-22,44,68,24,55,58,135,100,63,25
2018-11-23,48,88,25,57,62,151,116,58,23
2018-11-24,56,95,34,62,65,178,139,76,31
2018-11-25,58,100,33,65,61,181,136,72,27
2018-11-26,53,92,34,63,62,174,128,69,23
2018-11-27,60,101,36,59,65,176,124,79,19
2018-11-28,79,112,32,62,62,187,121,69,23
2018-11-29,76,110,28,43,58,164,132,64,24
2018-11-30,102,103,31,44,61,160,121,75,21
2018-12-01,99,101,34,43,62,145,108,64,50
2018-12-02,97,97,34,41,64,141,107,63,65
2018-12-03,90,97,33,41,62,142,106,58,63
2018-12-04,98,84,34,41,61,138,106,41,60
2018-12-05,131,90,40,48,59,126,113,48,65
2018-12-06,139,96,40,59,66,122,108,64,65
2018-12-07,118,104,34,58,70,113,107,59,66
2018-12-08,141,98,29,62,83,118,115,65,39
2018-12-09,138,94,29,61,83,120,114,68,31
2018-12-10,138,91,27,56,87,125,114,67,33
2018-12-11,117,84,23,56,88,121,114,74,35
2018-12-12,92,78,16,54,90,126,112,55,54
2018-12-13,82,79,14,45,93,133,106,57,72
2018-12-14,73,83,14,44,89,146,114,56,73
2018-12-15,75,92,22,49,73,152,109,66,88
2018-12-16,82,97,22,50,73,147,108,67,86
2018-12-17,78,97,22,48,70,146,110,63,91
2018-12-18,87,98,23,46,62,137,98,65,77
2018-12-19,85,88,19,42,51,116,75,62,57
2018-12-20,76,78,20,36,34,87,66,50,46
2018-12-21,68,64,13,32,27,66,44,45,34
2018-12-22,60,48,6,23,27,48,37,38,32
2018-12-23,53,43,6,23,25,53,42,34,31
2018-12-24,57,39,5,20,23,52,40,27,18
2018-12-25,59,42,15,18,28,55,41,28,19
2018-12-26,65,44,18,19,30,51,44,31,21
2018-12-27,73,47,18,21,39,63,43,31,19
2018-12-28,79,52,18,27,47,74,59,40,18
2018-12-29,81,53,25,30,54,84,66,40,15
2018-12-30,75,52,25,31,58,83,63,39,9
2018-12-31,65,51,24,33,61,85,61,38,9
2019-01-01,84,66,14,44,67,98,73,39,15
2019-01-02,116,74,19,57,83,126,90,34,23
2019-01-03,124,83,22,55,93,131,96,58,26
2019-01-04,159,92,30,57,97,139,102,60,46
2019-01-05,175,96,32,66,96,139,104,79,104
